pdb_name,energy
"242_(ef1,ef2)_(MBI1981207-1,WP_020174296-1).pdb",-24.406696
"397_(ef1,ef3)_(MBI1981207-1,MBV8427531-1).pdb",-22.23429
"244_(ef1,ef2)_(MBI1981207-1,WP_184513836-1).pdb",-12.292033
"251_(ef1,ef2)_(MBI1981207-1,WP_122402182-1).pdb",-11.083863
"250_(ef1,ef2)_(MBI1981207-1,WP_209296140-1).pdb",-11.083863
"390_(ef1,ef3)_(MBI1981207-1,MBV9520790-1).pdb",-9.0954678
"240_(ef1,ef2)_(MBI1981207-1,WP_244536190-1).pdb",-9.0045751
"245_(ef1,ef2)_(MBI1981207-1,WP_183506314-1).pdb",-8.9562099
"304_(ef4,ef2)_(WP_024878302-1,WP_184513836-1).pdb",-7.5971323
"364_(ef4,ef2)_(WP_018267140-1,WP_184513836-1).pdb",-5.8816223
"302_(ef4,ef2)_(WP_024878302-1,WP_020174296-1).pdb",-5.4648991
"368_(ef4,ef2)_(WP_018267140-1,NJM54704-1).pdb",-5.0612783
"253_(ef1,ef2)_(MBI1981207-1,WP_233385613-1).pdb",-3.9035827
"247_(ef1,ef2)_(MBI1981207-1,MBN9042672-1).pdb",-3.781344
"349_(ef4,ef2)_(WP_196407746-1,WP_184513836-1).pdb",-3.3444693
"248_(ef1,ef2)_(MBI1981207-1,NJM54704-1).pdb",-2.6278236
"370_(ef4,ef2)_(WP_018267140-1,WP_209296140-1).pdb",-0.5625446
"371_(ef4,ef2)_(WP_018267140-1,WP_122402182-1).pdb",-0.5625446
"450_(ef4,ef3)_(WP_024878302-1,MBV9520790-1).pdb",0.19948642
"347_(ef4,ef2)_(WP_196407746-1,WP_020174296-1).pdb",0.61245322
"310_(ef4,ef2)_(WP_024878302-1,WP_209296140-1).pdb",1.70685235
"311_(ef4,ef2)_(WP_024878302-1,WP_122402182-1).pdb",1.70685235
"243_(ef1,ef2)_(MBI1981207-1,WP_099908472-1).pdb",4.15075517
"399_(ef1,ef3)_(MBI1981207-1,WP_026016174-1).pdb",10.3122293
"393_(ef1,ef3)_(MBI1981207-1,WP_091858554-1).pdb",15.8231853
"394_(ef1,ef3)_(MBI1981207-1,WP_147080767-1).pdb",18.1450258
"404_(ef1,ef3)_(MBI1981207-1,OLB71496-1).pdb",18.9081993
"495_(ef4,ef3)_(WP_196407746-1,MBV9520790-1).pdb",19.7964833
"517_(ef4,ef3)_(WP_018267140-1,MBV8427531-1).pdb",21.0485303
"457_(ef4,ef3)_(WP_024878302-1,MBV8427531-1).pdb",22.3570552
"391_(ef1,ef3)_(MBI1981207-1,WP_048445733-1).pdb",22.3864637
"502_(ef4,ef3)_(WP_196407746-1,MBV8427531-1).pdb",22.6518943
"401_(ef1,ef3)_(MBI1981207-1,MCJ2031403-1).pdb",23.3295819
"396_(ef1,ef3)_(MBI1981207-1,WP_012453714-1).pdb",23.3295819
"398_(ef1,ef3)_(MBI1981207-1,WP_003601797-1).pdb",23.3295819
"511_(ef4,ef3)_(WP_018267140-1,WP_048445733-1).pdb",27.8074791
"464_(ef4,ef3)_(WP_024878302-1,OLB71496-1).pdb",28.4085396
"459_(ef4,ef3)_(WP_024878302-1,WP_026016174-1).pdb",28.5395599
"509_(ef4,ef3)_(WP_196407746-1,OLB71496-1).pdb",29.4958337
"524_(ef4,ef3)_(WP_018267140-1,OLB71496-1).pdb",29.7183536
"25_(ef2,ef3)_(TMJ90498-1,WP_074826049-1).pdb",37.9648807
"85_(ef2,ef3)_(WP_183506314-1,WP_074826049-1).pdb",39.5211161
"74_(ef2,ef3)_(WP_184513836-1,OLB71496-1).pdb",40.1444682
"59_(ef2,ef3)_(WP_099908472-1,OLB71496-1).pdb",40.7074369
"205_(ef2,ef3)_(WP_233385613-1,WP_074826049-1).pdb",44.4804676
"202_(ef2,ef3)_(WP_233385613-1,MBV8427531-1).pdb",63.5512533
"71_(ef2,ef3)_(WP_184513836-1,MCJ2031403-1).pdb",69.5250995
"68_(ef2,ef3)_(WP_184513836-1,WP_003601797-1).pdb",69.5250995
"66_(ef2,ef3)_(WP_184513836-1,WP_012453714-1).pdb",69.5250995
"72_(ef2,ef3)_(WP_184513836-1,WP_238256066-1).pdb",69.5250995
