24/05/04 17:33:39 | INFO | root | Reading sequences from /work/ratul1/curwen/Lanmodulin-data/fasta/Half_designs.fasta
24/05/04 17:33:39 | INFO | root | Loaded 525 sequences from /work/ratul1/curwen/Lanmodulin-data/fasta/Half_designs.fasta
24/05/04 17:33:39 | INFO | root | Loading model
24/05/04 17:34:14 | INFO | root | Starting Predictions
24/05/04 17:34:20 | INFO | root | Predicted structure for 300_(ef4,ef2)_(WP_024878302-1,WP_244536190-1)|('WP_024878302-1', 'head')|('WP_024878302-1', 'ef4')|('WP_024878302-1', 'linker1')|('WP_244536190-1', 'ef2')|('WP_244536190-1', 'tail') with length 57, pLDDT 86.3, pTM 0.728 in 0.3s (amortized, batch size 17). 1 / 525 completed.
24/05/04 17:34:20 | INFO | root | Predicted structure for 315_(ef4,ef2)_(WP_064033039-1,WP_244536190-1)|('WP_064033039-1', 'head')|('WP_064033039-1', 'ef4')|('WP_064033039-1', 'linker1')|('WP_244536190-1', 'ef2')|('WP_244536190-1', 'tail') with length 57, pLDDT 85.5, pTM 0.713 in 0.3s (amortized, batch size 17). 2 / 525 completed.
24/05/04 17:34:20 | INFO | root | Predicted structure for 345_(ef4,ef2)_(WP_196407746-1,WP_244536190-1)|('WP_196407746-1', 'head')|('WP_196407746-1', 'ef4')|('WP_196407746-1', 'linker1')|('WP_244536190-1', 'ef2')|('WP_244536190-1', 'tail') with length 57, pLDDT 85.6, pTM 0.726 in 0.3s (amortized, batch size 17). 3 / 525 completed.
24/05/04 17:34:20 | INFO | root | Predicted structure for 360_(ef4,ef2)_(WP_018267140-1,WP_244536190-1)|('WP_018267140-1', 'head')|('WP_018267140-1', 'ef4')|('WP_018267140-1', 'linker1')|('WP_244536190-1', 'ef2')|('WP_244536190-1', 'tail') with length 57, pLDDT 85.4, pTM 0.725 in 0.3s (amortized, batch size 17). 4 / 525 completed.
24/05/04 17:34:20 | INFO | root | Predicted structure for 16_(ef2,ef3)_(TMJ90498-1,WP_048445733-1)|('TMJ90498-1', 'head')|('TMJ90498-1', 'ef2')|('TMJ90498-1', 'linker2')|('WP_048445733-1', 'ef3')|('WP_048445733-1', 'tail') with length 58, pLDDT 82.7, pTM 0.765 in 0.3s (amortized, batch size 17). 5 / 525 completed.
24/05/04 17:34:20 | INFO | root | Predicted structure for 17_(ef2,ef3)_(TMJ90498-1,WP_147081983-1)|('TMJ90498-1', 'head')|('TMJ90498-1', 'ef2')|('TMJ90498-1', 'linker2')|('WP_147081983-1', 'ef3')|('WP_147081983-1', 'tail') with length 58, pLDDT 83.9, pTM 0.790 in 0.3s (amortized, batch size 17). 6 / 525 completed.
24/05/04 17:34:20 | INFO | root | Predicted structure for 18_(ef2,ef3)_(TMJ90498-1,WP_091858554-1)|('TMJ90498-1', 'head')|('TMJ90498-1', 'ef2')|('TMJ90498-1', 'linker2')|('WP_091858554-1', 'ef3')|('WP_091858554-1', 'tail') with length 58, pLDDT 83.7, pTM 0.783 in 0.3s (amortized, batch size 17). 7 / 525 completed.
24/05/04 17:34:20 | INFO | root | Predicted structure for 19_(ef2,ef3)_(TMJ90498-1,WP_147080767-1)|('TMJ90498-1', 'head')|('TMJ90498-1', 'ef2')|('TMJ90498-1', 'linker2')|('WP_147080767-1', 'ef3')|('WP_147080767-1', 'tail') with length 58, pLDDT 83.8, pTM 0.788 in 0.3s (amortized, batch size 17). 8 / 525 completed.
24/05/04 17:34:20 | INFO | root | Predicted structure for 21_(ef2,ef3)_(TMJ90498-1,WP_012453714-1)|('TMJ90498-1', 'head')|('TMJ90498-1', 'ef2')|('TMJ90498-1', 'linker2')|('WP_012453714-1', 'ef3')|('WP_012453714-1', 'tail') with length 58, pLDDT 84.3, pTM 0.795 in 0.3s (amortized, batch size 17). 9 / 525 completed.
24/05/04 17:34:20 | INFO | root | Predicted structure for 23_(ef2,ef3)_(TMJ90498-1,WP_003601797-1)|('TMJ90498-1', 'head')|('TMJ90498-1', 'ef2')|('TMJ90498-1', 'linker2')|('WP_003601797-1', 'ef3')|('WP_003601797-1', 'tail') with length 58, pLDDT 84.3, pTM 0.795 in 0.3s (amortized, batch size 17). 10 / 525 completed.
24/05/04 17:34:20 | INFO | root | Predicted structure for 24_(ef2,ef3)_(TMJ90498-1,WP_026016174-1)|('TMJ90498-1', 'head')|('TMJ90498-1', 'ef2')|('TMJ90498-1', 'linker2')|('WP_026016174-1', 'ef3')|('WP_026016174-1', 'tail') with length 58, pLDDT 77.8, pTM 0.670 in 0.3s (amortized, batch size 17). 11 / 525 completed.
